time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,SkinTone,Speed,Depth,Experiment
2025-10-21T20:55:39.397Z,3322,6020,23042,4478,8184,25469,4129,5025,17525,6132,10288,29245,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:39.437Z,3356,6074,23189,4463,8178,25490,4082,4950,17204,5645,9451,27729,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:39.477Z,3382,6128,23309,4444,8178,25497,4034,4884,16922,5211,8705,26425,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:39.517Z,3374,6136,23294,4437,8184,25485,4028,4891,16930,5204,8704,26495,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:39.557Z,3341,6102,23180,4446,8193,25467,4065,4954,17177,5568,9343,27672,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:39.597Z,3313,6068,23089,4456,8202,25464,4105,5003,17400,5900,9918,28682,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:39.637Z,3302,6057,23072,4462,8207,25477,4132,5015,17470,5996,10080,28940,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:39.677Z,3302,6054,23081,4467,8212,25491,4154,5018,17479,6009,10097,28932,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:39.717Z,3301,6039,23056,4475,8212,25487,4174,5035,17545,6123,10283,29235,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:39.757Z,3297,6014,23000,4480,8206,25465,4182,5058,17649,6298,10573,29736,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:39.797Z,3296,6001,22969,4479,8198,25448,4176,5065,17694,6375,10700,29945,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:39.837Z,3310,6018,23016,4473,8194,25452,4147,5036,17591,6215,10429,29438,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:39.877Z,3341,6070,23156,4458,8194,25479,4089,4966,17298,5768,9671,28068,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:39.917Z,3370,6130,23309,4438,8195,25506,4028,4893,16957,5264,8815,26545,Fair,Fast,2.5mm,Experiment_1
