time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,SkinTone,Speed,Depth,Experiment
2025-10-21T20:50:06.798Z,3283,6011,22921,4485,8217,25479,4200,5126,17948,6581,11063,30561,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:06.838Z,3292,6015,22962,4480,8208,25483,4165,5094,17838,6396,10755,30033,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:06.878Z,3315,6047,23060,4466,8206,25489,4104,5029,17566,5973,10043,28809,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:06.918Z,3346,6090,23183,4445,8204,25493,4042,4949,17219,5462,9166,27323,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:06.958Z,3365,6109,23248,4434,8201,25491,4024,4906,17038,5226,8738,26644,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:06.998Z,3360,6089,23216,4442,8203,25487,4065,4934,17143,5424,9044,27225,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:07.038Z,3339,6048,23136,4459,8204,25485,4124,4996,17400,5826,9714,28381,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:07.078Z,3319,6017,23070,4474,8203,25489,4153,5044,17619,6126,10241,29266,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:07.118Z,3312,6013,23035,4481,8205,25491,4154,5062,17722,6222,10437,29585,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:07.158Z,3314,6025,23023,4485,8207,25490,4151,5066,17741,6215,10454,29562,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:07.198Z,3317,6030,23008,4491,8208,25492,4156,5076,17769,6273,10574,29677,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:07.238Z,3314,6017,22971,4497,8206,25491,4167,5095,17843,6432,10847,30093,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:07.278Z,3308,5999,22926,4501,8205,25481,4180,5111,17912,6563,11057,30483,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:07.318Z,3300,5989,22898,4502,8206,25473,4193,5120,17944,6614,11125,30654,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:07.358Z,3292,5989,22899,4501,8210,25474,4207,5126,17947,6610,11102,30644,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:07.398Z,3292,6005,22932,4496,8214,25480,4202,5120,17889,6500,10914,30320,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:07.438Z,3307,6039,23017,4481,8213,25491,4156,5084,17681,6159,10357,29332,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:07.478Z,3340,6084,23158,4457,8199,25504,4075,5007,17307,5585,9409,27650,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:07.518Z,3373,6121,23286,4437,8184,25510,3999,4926,16956,5076,8550,26153,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:07.558Z,3382,6123,23298,4435,8181,25499,3976,4906,16895,5000,8414,25981,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:07.598Z,3366,6083,23195,4450,8185,25477,4014,4961,17134,5370,9031,27123,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:07.638Z,3342,6034,23076,4468,8190,25462,4075,5035,17436,5839,9822,28498,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:07.678Z,3320,6010,23013,4474,8196,25463,4111,5072,17608,6106,10278,29255,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:07.718Z,3307,6009,23005,4470,8200,25468,4115,5064,17638,6143,10343,29360,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:07.758Z,3303,6012,23009,4468,8195,25470,4111,5047,17633,6123,10306,29311,Fair,Medium,2.5mm,Experiment_2
