ts,user_id,device_id,source,x,y,z,time_s
2026-03-13 16:59:42.727000+00:00,0,0,0,-3552,1324,-1662,23.874
2026-03-13 16:59:42.765000+00:00,0,0,0,-3552,1333,-1659,23.912
2026-03-13 16:59:42.804000+00:00,0,0,0,-3558,1337,-1659,23.951
2026-03-13 16:59:42.843000+00:00,0,0,0,-3554,1339,-1656,23.99
2026-03-13 16:59:42.882000+00:00,0,0,0,-3553,1330,-1659,24.029
2026-03-13 16:59:42.920000+00:00,0,0,0,-3558,1311,-1663,24.067
2026-03-13 16:59:42.959000+00:00,0,0,0,-3549,1289,-1675,24.106
2026-03-13 16:59:43.002000+00:00,0,0,0,-3551,1280,-1693,24.149
2026-03-13 16:59:43.036000+00:00,0,0,0,-3546,1285,-1688,24.183
2026-03-13 16:59:43.075000+00:00,0,0,0,-3564,1294,-1663,24.222
2026-03-13 16:59:43.114000+00:00,0,0,0,-3568,1325,-1639,24.261
2026-03-13 16:59:43.152000+00:00,0,0,0,-3569,1361,-1628,24.299
2026-03-13 16:59:43.191000+00:00,0,0,0,-3564,1357,-1629,24.338
2026-03-13 16:59:43.230000+00:00,0,0,0,-3560,1326,-1647,24.377
2026-03-13 16:59:43.268000+00:00,0,0,0,-3557,1290,-1664,24.415
2026-03-13 16:59:43.307000+00:00,0,0,0,-3561,1289,-1688,24.454
2026-03-13 16:59:43.346000+00:00,0,0,0,-3563,1271,-1677,24.493
2026-03-13 16:59:43.384000+00:00,0,0,0,-3562,1273,-1669,24.531
2026-03-13 16:59:43.423000+00:00,0,0,0,-3566,1271,-1653,24.57
2026-03-13 16:59:43.462000+00:00,0,0,0,-3560,1291,-1672,24.609
2026-03-13 16:59:43.501000+00:00,0,0,0,-3561,1309,-1677,24.648
2026-03-13 16:59:43.539000+00:00,0,0,0,-3565,1323,-1660,24.686
2026-03-13 16:59:43.578000+00:00,0,0,0,-3556,1318,-1644,24.725
2026-03-13 16:59:43.617000+00:00,0,0,0,-3558,1312,-1656,24.764
2026-03-13 16:59:43.655000+00:00,0,0,0,-3568,1297,-1672,24.802
2026-03-13 16:59:43.694000+00:00,0,0,0,-3559,1290,-1678,24.841
2026-03-13 16:59:43.733000+00:00,0,0,0,-3559,1278,-1664,24.88
2026-03-13 16:59:43.771000+00:00,0,0,0,-3570,1283,-1665,24.918
2026-03-13 16:59:43.810000+00:00,0,0,0,-3558,1291,-1659,24.957
2026-03-13 16:59:43.849000+00:00,0,0,0,-3565,1298,-1654,24.996
2026-03-13 16:59:43.887000+00:00,0,0,0,-3556,1307,-1666,25.034
2026-03-13 16:59:43.926000+00:00,0,0,0,-3558,1306,-1675,25.073
2026-03-13 16:59:43.965000+00:00,0,0,0,-3569,1293,-1678,25.112
2026-03-13 16:59:44.004000+00:00,0,0,0,-3563,1287,-1668,25.151
2026-03-13 16:59:44.042000+00:00,0,0,0,-3567,1285,-1650,25.189
2026-03-13 16:59:44.081000+00:00,0,0,0,-3561,1289,-1655,25.228
2026-03-13 16:59:44.120000+00:00,0,0,0,-3564,1289,-1667,25.267
2026-03-13 16:59:44.158000+00:00,0,0,0,-3558,1299,-1684,25.305
2026-03-13 16:59:44.197000+00:00,0,0,0,-3564,1301,-1671,25.344
2026-03-13 16:59:44.236000+00:00,0,0,0,-3562,1293,-1653,25.383
2026-03-13 16:59:44.274000+00:00,0,0,0,-3562,1301,-1652,25.421
2026-03-13 16:59:44.313000+00:00,0,0,0,-3565,1288,-1666,25.46
2026-03-13 16:59:44.352000+00:00,0,0,0,-3560,1288,-1679,25.499
2026-03-13 16:59:44.390000+00:00,0,0,0,-3561,1281,-1674,25.537
2026-03-13 16:59:44.440000+00:00,0,0,0,-3559,1285,-1670,25.587
2026-03-13 16:59:44.468000+00:00,0,0,0,-3563,1293,-1657,25.615
2026-03-13 16:59:44.506000+00:00,0,0,0,-3567,1299,-1654,25.653
2026-03-13 16:59:44.545000+00:00,0,0,0,-3567,1298,-1664,25.692
2026-03-13 16:59:44.584000+00:00,0,0,0,-3563,1288,-1671,25.731
2026-03-13 16:59:44.623000+00:00,0,0,0,-3568,1286,-1670,25.77
2026-03-13 16:59:44.661000+00:00,0,0,0,-3559,1275,-1673,25.808
2026-03-13 16:59:44.700000+00:00,0,0,0,-3568,1277,-1672,25.847
2026-03-13 16:59:44.739000+00:00,0,0,0,-3567,1284,-1664,25.886
